year,month,starthour,season,weekday,trips
2017,Jan,00,Winter,Friday,890
2017,Jan,00,Winter,Monday,671
2017,Jan,00,Winter,Saturday,1111
2017,Jan,00,Winter,Sunday,1365
2017,Jan,00,Winter,Thursday,620
2017,Jan,00,Winter,Tuesday,431
2017,Jan,00,Winter,Wednesday,459
2017,Jan,01,Winter,Friday,441
2017,Jan,01,Winter,Monday,386
2017,Jan,01,Winter,Saturday,689
2017,Jan,01,Winter,Sunday,1060
2017,Jan,01,Winter,Thursday,336
2017,Jan,01,Winter,Tuesday,218
2017,Jan,01,Winter,Wednesday,262
2017,Jan,02,Winter,Friday,242
2017,Jan,02,Winter,Monday,197
2017,Jan,02,Winter,Saturday,446
2017,Jan,02,Winter,Sunday,740
2017,Jan,02,Winter,Thursday,164
2017,Jan,02,Winter,Tuesday,104
2017,Jan,02,Winter,Wednesday,122
2017,Jan,03,Winter,Friday,139
2017,Jan,03,Winter,Monday,124
2017,Jan,03,Winter,Saturday,311
2017,Jan,03,Winter,Sunday,527
2017,Jan,03,Winter,Thursday,107
2017,Jan,03,Winter,Tuesday,81
2017,Jan,03,Winter,Wednesday,70
2017,Jan,04,Winter,Friday,174
2017,Jan,04,Winter,Monday,208
2017,Jan,04,Winter,Saturday,213
2017,Jan,04,Winter,Sunday,295
2017,Jan,04,Winter,Thursday,173
2017,Jan,04,Winter,Tuesday,188
2017,Jan,04,Winter,Wednesday,179
2017,Jan,05,Winter,Friday,1015
2017,Jan,05,Winter,Monday,894
2017,Jan,05,Winter,Saturday,226
2017,Jan,05,Winter,Sunday,210
2017,Jan,05,Winter,Thursday,1213
2017,Jan,05,Winter,Tuesday,1103
2017,Jan,05,Winter,Wednesday,1151
2017,Jan,06,Winter,Friday,3645
2017,Jan,06,Winter,Monday,2766
2017,Jan,06,Winter,Saturday,579
2017,Jan,06,Winter,Sunday,424
2017,Jan,06,Winter,Thursday,4213
2017,Jan,06,Winter,Tuesday,3904
2017,Jan,06,Winter,Wednesday,3960
