year,month,age,usertype,Trips,Avgtripdur
2018,Jan,86,Subscriber,9,11.88148148
2018,Jan,87,Subscriber,2,4.6
2018,Jan,89,Subscriber,12,7.575
2018,Jan,95,Customer,2,1555.966667
2018,Jan,95,Subscriber,46,13.85652174
2018,Jan,97,Subscriber,14,3.728571429
2018,Jan,99,Subscriber,2,36.13333333
2018,Jan,100,Subscriber,3,9.2
2018,Jan,101,Subscriber,9,7.877777778
2018,Jan,102,Subscriber,1,12.93333333
2018,Jan,106,Subscriber,29,11.72643678
2018,Jan,108,Subscriber,16,3.405208333
2018,Jan,117,Subscriber,17,21.44803922
2018,Jan,118,Subscriber,282,6.35856974
2018,Jan,119,Subscriber,30,23.57
2018,Jan,124,Subscriber,11,12.54848485
2018,Jan,131,Subscriber,53,13.06886792
2018,Jan,132,Subscriber,5,21.08333333
2018,Jan,133,Subscriber,33,11.11616162
2018,Feb,16,Customer,3,45.03333333
2018,Feb,16,Subscriber,38,9.118859649
2018,Feb,17,Customer,57,54.81695906
2018,Feb,17,Subscriber,769,10.16577807
2018,Feb,18,Customer,132,23.79179293
2018,Feb,18,Subscriber,1300,9.673333333
2018,Feb,19,Customer,160,24.6071875
2018,Feb,19,Subscriber,2539,9.602474728
2018,Feb,20,Customer,277,22.76419976
2018,Feb,20,Subscriber,4508,11.01773883
2018,Feb,21,Customer,242,55.28553719
2018,Feb,21,Subscriber,5905,9.243722834
2018,Feb,22,Customer,282,39.153487
2018,Feb,22,Subscriber,7418,11.00030556
2018,Feb,23,Customer,290,21.43068966
2018,Feb,23,Subscriber,11044,11.31066492
2018,Feb,24,Customer,405,28.50925926
2018,Feb,24,Subscriber,15067,11.05395345
2018,Feb,25,Customer,383,222.7314186
2018,Feb,25,Subscriber,22427,21.17806439
2018,Feb,26,Customer,282,50.98244681
2018,Feb,26,Subscriber,26876,11.64280771
2018,Feb,27,Customer,282,47.87328605
2018,Feb,27,Subscriber,29457,11.59570617
2018,Feb,28,Customer,300,208.5484444
2018,Feb,28,Subscriber,31257,11.2050378
2018,Feb,29,Customer,243,102.56262
2018,Feb,29,Subscriber,31221,11.29246768
2018,Feb,30,Customer,491,1906.82702
2018,Feb,30,Subscriber,30909,11.55089348
2018,Feb,31,Customer,405,43.73497942
