year,month,starthour,season,weekday,trips
2018,Jan,19,Winter,Monday,7507
2018,Jan,19,Winter,Saturday,3939
2018,Jan,19,Winter,Sunday,3387
2018,Jan,19,Winter,Thursday,6093
2018,Jan,19,Winter,Tuesday,9346
2018,Jan,19,Winter,Wednesday,9365
2018,Jan,20,Winter,Friday,3316
2018,Jan,20,Winter,Monday,4926
2018,Jan,20,Winter,Saturday,2879
2018,Jan,20,Winter,Sunday,2621
2018,Jan,20,Winter,Thursday,4018
2018,Jan,20,Winter,Tuesday,5933
2018,Jan,20,Winter,Wednesday,5900
2018,Jan,21,Winter,Friday,2084
2018,Jan,21,Winter,Monday,3128
2018,Jan,21,Winter,Saturday,2210
2018,Jan,21,Winter,Sunday,2116
2018,Jan,21,Winter,Thursday,2703
2018,Jan,21,Winter,Tuesday,3946
2018,Jan,21,Winter,Wednesday,4127
2018,Jan,22,Winter,Friday,1643
2018,Jan,22,Winter,Monday,2248
2018,Jan,22,Winter,Saturday,1953
2018,Jan,22,Winter,Sunday,1525
2018,Jan,22,Winter,Thursday,2069
2018,Jan,22,Winter,Tuesday,2747
2018,Jan,22,Winter,Wednesday,2825
2018,Jan,23,Winter,Friday,1265
2018,Jan,23,Winter,Monday,1173
2018,Jan,23,Winter,Saturday,1533
2018,Jan,23,Winter,Sunday,962
2018,Jan,23,Winter,Thursday,1240
2018,Jan,23,Winter,Tuesday,1409
2018,Jan,23,Winter,Wednesday,1581
2018,Feb,00,Winter,Friday,767
2018,Feb,00,Winter,Monday,724
2018,Feb,00,Winter,Saturday,1206
2018,Feb,00,Winter,Sunday,838
2018,Feb,00,Winter,Thursday,802
2018,Feb,00,Winter,Tuesday,658
2018,Feb,00,Winter,Wednesday,923
2018,Feb,01,Winter,Friday,369
2018,Feb,01,Winter,Monday,339
2018,Feb,01,Winter,Saturday,773
2018,Feb,01,Winter,Sunday,601
2018,Feb,01,Winter,Thursday,414
2018,Feb,01,Winter,Tuesday,300
2018,Feb,01,Winter,Wednesday,420
2018,Feb,02,Winter,Friday,187
2018,Feb,02,Winter,Monday,172
2018,Feb,02,Winter,Saturday,474
2018,Feb,02,Winter,Sunday,398
2018,Feb,02,Winter,Thursday,191
2018,Feb,02,Winter,Tuesday,143
2018,Feb,02,Winter,Wednesday,245
2018,Feb,03,Winter,Friday,152
2018,Feb,03,Winter,Monday,140
2018,Feb,03,Winter,Saturday,326
2018,Feb,03,Winter,Sunday,247
2018,Feb,03,Winter,Thursday,129
2018,Feb,03,Winter,Tuesday,94
2018,Feb,03,Winter,Wednesday,127
2018,Feb,04,Winter,Friday,198
2018,Feb,04,Winter,Monday,184
2018,Feb,04,Winter,Saturday,215
2018,Feb,04,Winter,Sunday,110
2018,Feb,04,Winter,Thursday,191
2018,Feb,04,Winter,Tuesday,215
2018,Feb,04,Winter,Wednesday,209
2018,Feb,05,Winter,Friday,1046
2018,Feb,05,Winter,Monday,1090
2018,Feb,05,Winter,Saturday,265
2018,Feb,05,Winter,Sunday,107
2018,Feb,05,Winter,Thursday,1257
2018,Feb,05,Winter,Tuesday,1306
2018,Feb,05,Winter,Wednesday,1392
2018,Feb,06,Winter,Friday,3402
2018,Feb,06,Winter,Monday,3639
2018,Feb,06,Winter,Saturday,707
2018,Feb,06,Winter,Sunday,223
2018,Feb,06,Winter,Thursday,4316
2018,Feb,06,Winter,Tuesday,4613
2018,Feb,06,Winter,Wednesday,4920
2018,Feb,07,Winter,Friday,6868
2018,Feb,07,Winter,Monday,7816
2018,Feb,07,Winter,Saturday,1670
2018,Feb,07,Winter,Sunday,633
2018,Feb,07,Winter,Thursday,8732
2018,Feb,07,Winter,Tuesday,10000
2018,Feb,07,Winter,Wednesday,10565
2018,Feb,08,Winter,Friday,12747
2018,Feb,08,Winter,Monday,12924
2018,Feb,08,Winter,Saturday,3344
2018,Feb,08,Winter,Sunday,1482
2018,Feb,08,Winter,Thursday,16130
2018,Feb,08,Winter,Tuesday,17229
2018,Feb,08,Winter,Wednesday,17299
2018,Feb,09,Winter,Friday,9715
2018,Feb,09,Winter,Monday,9129
2018,Feb,09,Winter,Saturday,5367
2018,Feb,09,Winter,Sunday,2324
2018,Feb,09,Winter,Thursday,11206
2018,Feb,09,Winter,Tuesday,11590
2018,Feb,09,Winter,Wednesday,11167
2018,Feb,10,Winter,Friday,5205
2018,Feb,10,Winter,Monday,5434
2018,Feb,10,Winter,Saturday,6930
2018,Feb,10,Winter,Sunday,3417
2018,Feb,10,Winter,Thursday,5902
2018,Feb,10,Winter,Tuesday,5979
2018,Feb,10,Winter,Wednesday,5977
2018,Feb,11,Winter,Friday,4948
2018,Feb,11,Winter,Monday,5475
2018,Feb,11,Winter,Saturday,8287
2018,Feb,11,Winter,Sunday,4234
2018,Feb,11,Winter,Thursday,5467
2018,Feb,11,Winter,Tuesday,5581
2018,Feb,11,Winter,Wednesday,5576
2018,Feb,12,Winter,Friday,5789
2018,Feb,12,Winter,Monday,6413
2018,Feb,12,Winter,Saturday,8224
2018,Feb,12,Winter,Sunday,4713
2018,Feb,12,Winter,Thursday,6547
2018,Feb,12,Winter,Tuesday,6804
2018,Feb,12,Winter,Wednesday,6779
2018,Feb,13,Winter,Friday,5993
2018,Feb,13,Winter,Monday,6614
2018,Feb,13,Winter,Saturday,7340
2018,Feb,13,Winter,Sunday,4753
2018,Feb,13,Winter,Thursday,6047
2018,Feb,13,Winter,Tuesday,7321
2018,Feb,13,Winter,Wednesday,7225
2018,Feb,14,Winter,Friday,5721
2018,Feb,14,Winter,Monday,7000
2018,Feb,14,Winter,Saturday,6419
2018,Feb,14,Winter,Sunday,5185
2018,Feb,14,Winter,Thursday,6185
2018,Feb,14,Winter,Tuesday,7697
2018,Feb,14,Winter,Wednesday,7591
2018,Feb,15,Winter,Friday,5557
2018,Feb,15,Winter,Monday,7520
2018,Feb,15,Winter,Saturday,4889
2018,Feb,15,Winter,Sunday,5589
2018,Feb,15,Winter,Thursday,6674
2018,Feb,15,Winter,Tuesday,8471
2018,Feb,15,Winter,Wednesday,8361
2018,Feb,16,Winter,Friday,6749
2018,Feb,16,Winter,Monday,9137
2018,Feb,16,Winter,Saturday,5342
2018,Feb,16,Winter,Sunday,5647
2018,Feb,16,Winter,Thursday,7979
2018,Feb,16,Winter,Tuesday,10794
2018,Feb,16,Winter,Wednesday,10554
2018,Feb,17,Winter,Friday,10585
2018,Feb,17,Winter,Monday,13745
2018,Feb,17,Winter,Saturday,4738
2018,Feb,17,Winter,Sunday,4804
2018,Feb,17,Winter,Thursday,13088
2018,Feb,17,Winter,Tuesday,17715
2018,Feb,17,Winter,Wednesday,17347
2018,Feb,18,Winter,Friday,9323
2018,Feb,18,Winter,Monday,12982
2018,Feb,18,Winter,Saturday,3630
2018,Feb,18,Winter,Sunday,4182
2018,Feb,18,Winter,Thursday,13293
2018,Feb,18,Winter,Tuesday,16937
2018,Feb,18,Winter,Wednesday,15545
2018,Feb,19,Winter,Friday,6360
2018,Feb,19,Winter,Monday,8436
2018,Feb,19,Winter,Saturday,2523
2018,Feb,19,Winter,Sunday,3270
2018,Feb,19,Winter,Thursday,9256
2018,Feb,19,Winter,Tuesday,10981
2018,Feb,19,Winter,Wednesday,10464
2018,Feb,20,Winter,Friday,4183
2018,Feb,20,Winter,Monday,5538
2018,Feb,20,Winter,Saturday,1839
2018,Feb,20,Winter,Sunday,2512
2018,Feb,20,Winter,Thursday,6322
2018,Feb,20,Winter,Tuesday,7277
2018,Feb,20,Winter,Wednesday,6625
2018,Feb,21,Winter,Friday,2866
2018,Feb,21,Winter,Monday,3951
2018,Feb,21,Winter,Saturday,1287
2018,Feb,21,Winter,Sunday,2071
2018,Feb,21,Winter,Thursday,4133
2018,Feb,21,Winter,Tuesday,5166
2018,Feb,21,Winter,Wednesday,4343
2018,Feb,22,Winter,Friday,2229
2018,Feb,22,Winter,Monday,2622
2018,Feb,22,Winter,Saturday,1293
2018,Feb,22,Winter,Sunday,1818
2018,Feb,22,Winter,Thursday,2627
2018,Feb,22,Winter,Tuesday,3450
2018,Feb,22,Winter,Wednesday,3225
2018,Feb,23,Winter,Friday,1746
2018,Feb,23,Winter,Monday,1430
2018,Feb,23,Winter,Saturday,1092
2018,Feb,23,Winter,Sunday,1298
2018,Feb,23,Winter,Thursday,1440
2018,Feb,23,Winter,Tuesday,1966
2018,Feb,23,Winter,Wednesday,1825
2018,Mar,00,Spring,Friday,1116
2018,Mar,00,Spring,Monday,735
