Número de registros,Número de registros por stations.json,Altitude,Available Bikes,Available Docks,City,Execution Time,Id,Land Mark,Last Communication Time,Latitude,Location,Longitude,Postal Code,stAddress1,stAddress2,stationBeanList Índice (generado),Station Name,Status Key,Status Value,Test Station,Total Docks,Índice Del Documento (Generado)
1,1,,6,20,,16/07/2019 14:13,3157,,16/07/2019 14:11,40.77518615,,-73.94446054,,East End Ave & E 86 St,,384,East End Ave & E 86 St,1,In Service,Falso,27,1
1,1,,3,27,,16/07/2019 14:13,3158,,16/07/2019 14:11,40.77163851,,-73.98261428,,W 63 St & Broadway,,385,W 63 St & Broadway,1,In Service,Falso,31,1
1,1,,10,20,,16/07/2019 14:13,3159,,16/07/2019 14:12,40.77492513,,-73.98266566,,W 67 St & Broadway,,386,W 67 St & Broadway,1,In Service,Falso,31,1
1,1,,14,23,,16/07/2019 14:13,3160,,16/07/2019 14:12,40.77896784,,-73.97374737,,Central Park West & W 76 St,,387,Central Park West & W 76 St,1,In Service,Falso,39,1
1,1,,3,55,,16/07/2019 14:13,3161,,16/07/2019 14:09,40.78018397,,-73.97728533,,W 76 St & Columbus Ave,,388,W 76 St & Columbus Ave,1,In Service,Falso,59,1
1,1,,1,38,,16/07/2019 14:13,3162,,16/07/2019 14:10,40.78339981,,-73.98093133,,W 78 St & Broadway,,389,W 78 St & Broadway,1,In Service,Falso,39,1
1,1,,17,23,,16/07/2019 14:13,3163,,16/07/2019 14:12,40.7734066,,-73.97782542,,Central Park West & W 68 St,,390,Central Park West & W 68 St,1,In Service,Falso,43,1
1,1,,17,49,,16/07/2019 14:13,3164,,16/07/2019 14:10,40.7770575,,-73.97898475,,Columbus Ave & W 72 St,,391,Columbus Ave & W 72 St,1,In Service,Falso,67,1
1,1,,31,15,,16/07/2019 14:13,3165,,16/07/2019 14:11,40.77579377,,-73.97620574,,Central Park West & W 72 St,,392,Central Park West & W 72 St,1,In Service,Falso,51,1
1,1,,1,39,,16/07/2019 14:13,3166,,16/07/2019 14:11,40.78057799,,-73.98562431,,Riverside Dr & W 72 St,,393,Riverside Dr & W 72 St,1,In Service,Falso,41,1
1,1,,0,39,,16/07/2019 14:13,3167,,16/07/2019 14:11,40.77966809,,-73.98093045,,Amsterdam Ave & W 73 St,,394,Amsterdam Ave & W 73 St,1,In Service,Falso,55,1
1,1,,2,28,,16/07/2019 14:13,3168,,16/07/2019 14:11,40.78472675,,-73.96961715,,Central Park West & W 85 St,,395,Central Park West & W 85 St,1,In Service,Falso,31,1
1,1,,1,38,,16/07/2019 14:13,3169,,16/07/2019 14:09,40.78720869,,-73.98128127,,Riverside Dr & W 82 St,,396,Riverside Dr & W 82 St,1,In Service,Falso,39,1
1,1,,0,35,,16/07/2019 14:13,3170,,16/07/2019 14:11,40.78499979,,-73.97283406,,W 84 St & Columbus Ave,,397,W 84 St & Columbus Ave,1,In Service,Falso,35,1
1,1,,2,35,,16/07/2019 14:13,3171,,16/07/2019 14:09,40.78524672,,-73.97667321,,Amsterdam Ave & W 82 St,,398,Amsterdam Ave & W 82 St,1,In Service,Falso,39,1
1,1,,9,18,,16/07/2019 14:13,3172,,16/07/2019 14:09,40.7785669,,-73.97754961,,W 74 St & Columbus Ave,,399,W 74 St & Columbus Ave,1,In Service,Falso,27,1
1,1,,7,30,,16/07/2019 14:13,3173,,16/07/2019 14:11,40.77750703,,-73.98888588,,Riverside Blvd & W 67 St,,400,Riverside Blvd & W 67 St,1,In Service,Falso,39,1
1,1,,1,29,,16/07/2019 14:13,3175,,16/07/2019 14:09,40.77748046,,-73.98288594,,W 70 St & Amsterdam Ave,,401,W 70 St & Amsterdam Ave,1,In Service,Falso,31,1
1,1,,2,59,,16/07/2019 14:13,3177,,16/07/2019 14:11,40.7867947,,-73.977112,,W 84 St & Broadway,,402,W 84 St & Broadway,1,In Service,Falso,63,1
1,1,,0,39,,16/07/2019 14:13,3178,,16/07/2019 14:12,40.78414472,,-73.98362492,,Riverside Dr & W 78 St,,403,Riverside Dr & W 78 St,1,In Service,Falso,39,1
1,1,,11,12,,16/07/2019 14:13,3179,,16/07/2019 14:12,40.698617,,-73.941342,,Park Ave & Marcus Garvey Blvd,,404,Park Ave & Marcus Garvey Blvd,1,In Service,Falso,23,1
1,1,,30,9,,16/07/2019 14:13,3182,,16/07/2019 14:11,40.686931,,-74.016966,,Yankee Ferry Terminal,,405,Yankee Ferry Terminal,1,In Service,Falso,42,1
1,1,,11,3,,16/07/2019 14:13,3184,,16/07/2019 14:12,40.7141454,,-74.0335519,,Paulus Hook,,406,Paulus Hook,1,In Service,Falso,14,1
1,1,,12,10,,16/07/2019 14:13,3185,,16/07/2019 14:12,40.7177325,,-74.043845,,City Hall,,407,City Hall,1,In Service,Falso,22,1
1,1,,28,13,,16/07/2019 14:13,3186,,16/07/2019 14:11,40.71958612,,-74.04311746,,Grove St PATH,,408,Grove St PATH,1,In Service,Falso,42,1
1,1,,7,15,,16/07/2019 14:13,3187,,16/07/2019 14:10,40.7211236,,-74.03805095,,Warren St,,409,Warren St,1,In Service,Falso,22,1
1,1,,17,1,,16/07/2019 14:13,3191,,16/07/2019 14:12,40.7182113,,-74.0836394,,Union St,,410,Union St,1,In Service,Falso,18,1
1,1,,5,17,,16/07/2019 14:13,3192,,16/07/2019 14:11,40.7112423,,-74.0557013,,Liberty Light Rail,,411,Liberty Light Rail,1,In Service,Falso,22,1
1,1,,7,11,,16/07/2019 14:13,3193,,16/07/2019 14:12,40.7246051,,-74.07840595,,Lincoln Park,,412,Lincoln Park,1,In Service,Falso,18,1
1,1,,4,18,,16/07/2019 14:13,3194,,16/07/2019 14:11,40.72533993,,-74.06762213,,McGinley Square,,413,McGinley Square,1,In Service,Falso,22,1
1,1,,20,14,,16/07/2019 14:13,3195,,16/07/2019 14:09,40.7308971,,-74.06391263,,Sip Ave,,414,Sip Ave,1,In Service,Falso,34,1
1,1,,2,15,,16/07/2019 14:13,3196,,16/07/2019 14:12,40.7443187,,-74.0439909,,Riverview Park,,415,Riverview Park,1,In Service,Falso,18,1
1,1,,2,16,,16/07/2019 14:13,3198,,16/07/2019 14:10,40.74871595,,-74.0404433,,Heights Elevator,,416,Heights Elevator,1,In Service,Falso,18,1
1,1,,3,10,,16/07/2019 14:13,3199,,16/07/2019 14:09,40.7287448,,-74.0321082,,Newport Pkwy,,417,Newport Pkwy,1,In Service,Falso,14,1
1,1,,5,12,,16/07/2019 14:13,3201,,16/07/2019 14:10,40.737711,,-74.066921,,Dey St,,418,Dey St,1,In Service,Falso,17,1
1,1,,15,3,,16/07/2019 14:13,3202,,16/07/2019 14:09,40.7272235,,-74.0337589,,Newport PATH,,419,Newport PATH,1,In Service,Falso,18,1
1,1,,8,18,,16/07/2019 14:13,3203,,16/07/2019 14:12,40.72759597,,-74.04424731,,Hamilton Park,,420,Hamilton Park,1,In Service,Falso,26,1
1,1,,10,11,,16/07/2019 14:13,3205,,16/07/2019 14:09,40.71653978,,-74.04963791,,JC Medical Center,,421,JC Medical Center,1,In Service,Falso,22,1
1,1,,2,23,,16/07/2019 14:13,3206,,16/07/2019 14:09,40.7311689,,-74.0575736,,Hilltop,,422,Hilltop,1,In Service,Falso,26,1
1,1,,16,8,,16/07/2019 14:13,3207,,16/07/2019 14:12,40.7376037,,-74.0524783,,Oakland Ave,,423,Oakland Ave,1,In Service,Falso,26,1
1,1,,0,21,,16/07/2019 14:13,3209,,16/07/2019 14:11,40.7241765,,-74.0506564,,Brunswick St,,424,Brunswick St,1,In Service,Falso,22,1
1,1,,1,17,,16/07/2019 14:13,3210,,16/07/2019 14:09,40.74267714,,-74.05178863,,Pershing Field,,425,Pershing Field,1,In Service,Falso,18,1
1,1,,1,19,,16/07/2019 14:13,3211,,16/07/2019 14:12,40.72152515,,-74.04630454,,Newark Ave,,426,Newark Ave,1,In Service,Falso,22,1
1,1,,9,13,,16/07/2019 14:13,3212,,16/07/2019 14:12,40.73478582,,-74.05044364,,Christ Hospital,,427,Christ Hospital,1,In Service,Falso,22,1
1,1,,2,17,,16/07/2019 14:13,3213,,16/07/2019 14:11,40.71848892,,-74.04772663,,Van Vorst Park,,428,Van Vorst Park,1,In Service,Falso,21,1
1,1,,9,13,,16/07/2019 14:13,3214,,16/07/2019 14:11,40.7127742,,-74.0364857,,Essex Light Rail,,429,Essex Light Rail,1,In Service,Falso,22,1
1,1,,8,10,,16/07/2019 14:13,3220,,16/07/2019 14:12,40.73496102,,-74.05950308,,5 Corners Library,,430,5 Corners Library,1,In Service,Falso,18,1
1,1,,20,4,,16/07/2019 14:13,3221,,16/07/2019 14:11,40.743,,-73.93561,,47 Ave & 31 St,,431,47 Ave & 31 St,1,In Service,Falso,27,1
1,1,,0,0,,16/07/2019 14:13,3223,,06/06/2019 09:37,40.75899656,,-73.96865398,,E 55 St & 3 Ave,,432,E 55 St & 3 Ave,3,Not In Service,Falso,0,1
1,1,,2,12,,16/07/2019 14:13,3225,,16/07/2019 14:12,40.7236589,,-74.0641943,,Baldwin at Montgomery,,433,Baldwin at Montgomery,1,In Service,Falso,14,1
1,1,,5,39,,16/07/2019 14:13,3226,,16/07/2019 14:09,40.78275,,-73.97137,,W 82 St & Central Park West,,434,W 82 St & Central Park West,1,In Service,Falso,45,1
1,1,,6,33,,16/07/2019 14:13,3231,,16/07/2019 14:10,40.7678008,,-73.96592081,,E 67 St & Park Ave,,435,E 67 St & Park Ave,1,In Service,Falso,39,1
1,1,,29,1,,16/07/2019 14:13,3232,,16/07/2019 14:12,40.68962189,,-73.98304269,,Bond St & Fulton St,,436,Bond St & Fulton St,1,In Service,Falso,31,1
1,1,,15,15,,16/07/2019 14:13,3235,,16/07/2019 14:11,40.75216528,,-73.97992194,,E 41 St & Madison Ave,,437,E 41 St & Madison Ave,1,In Service,Falso,31,1
